feature,importance
num__Age at enrollment,180
num__Admission grade,176
num__sem2_approval_rate,142
num__Previous qualification (grade),136
num__sem1_approval_rate,134
num__Curricular units 2nd sem (grade),130
remainder__Tuition fees up to date,108
num__grade_change,102
num__Curricular units 2nd sem (evaluations),101
num__Curricular units 1st sem (evaluations),74
num__Curricular units 1st sem (grade),62
remainder__financial_risk_score,57
remainder__Gender,48
num__Curricular units 2nd sem (approved),45
num__Curricular units 1st sem (enrolled),37
cat__Father_education_level_중등교육 이하,37
cat__Major_field_사회,36
cat__Major_field_예술·디자인,26
num__Curricular units 1st sem (approved),25
cat__Mother_education_level_중등교육 이하,24
cat__Major_field_교육,24
cat__Father_occupation_group_농림,23
num__Curricular units 1st sem (credited),22
cat__Mother_occupation_group_무직·기타,22
num__Application order,21
cat__Major_field_인문·사회,21
cat__Major_field_보건,20
cat__Previous_education_level_Bachelor,19
cat__Mother_education_level_고등학교,17
remainder__Displaced,15
cat__Father_education_level_고등학교,13
cat__Admission_pathway_일반전형,13
cat__Mother_education_level_미상·기타,13
remainder__Debtor,12
num__Curricular units 1st sem (without evaluations),10
num__Curricular units 2nd sem (enrolled),10
cat__Admission_pathway_고등교육 이수자 전형,9
cat__Major_field_경영,9
cat__Major_field_공학·IT,8
cat__Mother_occupation_group_전문·관리직,8
num__Curricular units 2nd sem (credited),7
remainder__Scholarship holder,7
remainder__Daytime/evening attendance,7
cat__Admission_pathway_직업·기술교육 연계전형,7
cat__Father_education_level_대학,6
cat__Father_occupation_group_기술·생산,6
cat__Father_education_level_미상·기타,6
cat__Mother_occupation_group_사무·서비스,5
cat__Mother_education_level_대학,4
cat__Father_occupation_group_전문·관리직,3
cat__Major_field_경영·서비스,3
cat__Marital status_1,3
cat__Admission_pathway_성인학습자 전형,3
cat__Father_occupation_group_무직·기타,3
cat__Mother_occupation_group_기술·생산,3
num__Curricular units 2nd sem (without evaluations),2
cat__Mother_education_level_대학원,2
cat__Father_occupation_group_사무·서비스,1
cat__Major_field_자연·농생명,1
cat__Marital status_4,0
cat__Marital status_5,0
cat__Admission_pathway_외국인·국제학생 전형,0
cat__Admission_pathway_기타·특수전형,0
cat__Admission_pathway_편입·전과,0
cat__Marital status_3,0
cat__Previous_education_level_Vocational,0
cat__Previous_education_level_Secondary,0
cat__Previous_education_level_Higher education experience,0
cat__Previous_education_level_Graduate,0
cat__Previous_education_level_Below secondary,0
cat__Major_field_공학·자연,0
cat__Admission_pathway_특별전형,0
cat__Marital status_2,0
cat__Marital status_6,0
cat__Father_education_level_전문·직업교육,0
cat__Father_education_level_대학원,0
cat__Mother_education_level_전문·직업교육,0
cat__Mother_occupation_group_농림,0
remainder__Educational special needs,0
remainder__International,0
remainder__zero_enrolled_1st_sem,0
