rank,feature,coefficient,importance
1,remainder__Tuition fees up to date,-1.462299711356073,1.462299711356073
2,num__Curricular units 1st sem (approved),-1.0764427600213349,1.0764427600213349
3,num__Curricular units 2nd sem (approved),-1.0267140473637286,1.0267140473637286
4,cat__Admission_pathway_외국인·국제학생 전형,-1.016503617294203,1.016503617294203
5,cat__Major_field_교육,1.000079576107493,1.000079576107493
6,cat__Major_field_사회,-0.9203210716369,0.9203210716369
7,cat__Father_occupation_group_농림,-0.8974685076945007,0.8974685076945007
8,remainder__financial_risk_score,0.7662768093304645,0.7662768093304645
9,remainder__Educational special needs,0.758245099707072,0.758245099707072
10,cat__Admission_pathway_직업·기술교육 연계전형,-0.7170289493468738,0.7170289493468738
11,remainder__zero_enrolled_1st_sem,-0.7118481441914795,0.7118481441914795
12,cat__Mother_education_level_대학원,-0.665466206151755,0.665466206151755
13,num__Curricular units 2nd sem (enrolled),0.6415470500359666,0.6415470500359666
14,cat__Mother_education_level_미상·기타,0.6230540615643669,0.6230540615643669
15,num__sem2_approval_rate,-0.613619617910198,0.613619617910198
16,cat__Marital status_3,-0.49435008500180566,0.49435008500180566
17,cat__Admission_pathway_기타·특수전형,0.48577672352723666,0.48577672352723666
18,cat__Father_education_level_대학원,0.45268104111700896,0.45268104111700896
19,cat__Major_field_공학·IT,-0.4292598095534792,0.4292598095534792
20,cat__Marital status_6,0.42184968061183864,0.42184968061183864
21,remainder__Gender,0.41904740902360493,0.41904740902360493
22,cat__Major_field_예술·디자인,-0.3995936399823284,0.3995936399823284
23,cat__Admission_pathway_성인학습자 전형,0.39542105164214475,0.39542105164214475
24,cat__Father_occupation_group_기술·생산,0.3920296664955479,0.3920296664955479
25,cat__Father_education_level_중등교육 이하,-0.37332882400576267,0.37332882400576267
26,cat__Mother_occupation_group_무직·기타,0.35995495081165035,0.35995495081165035
27,cat__Major_field_보건,-0.358020944016917,0.358020944016917
28,remainder__International,-0.35234862834049796,0.35234862834049796
29,remainder__Scholarship holder,0.3499898708275297,0.3499898708275297
30,cat__Major_field_경영·서비스,0.33320644363314267,0.33320644363314267
31,cat__Previous_education_level_Secondary,-0.3284066113109894,0.3284066113109894
32,cat__Previous_education_level_Bachelor,0.32364114972291896,0.32364114972291896
33,cat__Mother_occupation_group_기술·생산,-0.3162479690592032,0.3162479690592032
34,remainder__Daytime/evening attendance,-0.3042395250505286,0.3042395250505286
35,cat__Major_field_자연·농생명,0.3026398928520184,0.3026398928520184
36,num__Curricular units 2nd sem (credited),0.30085357172199323,0.30085357172199323
37,cat__Father_education_level_대학,-0.300404750325904,0.300404750325904
38,num__Curricular units 1st sem (enrolled),0.2982024098760763,0.2982024098760763
39,cat__Marital status_1,0.27448555302519095,0.27448555302519095
40,cat__Admission_pathway_편입·전과,0.256322179443347,0.256322179443347
41,cat__Major_field_인문·사회,0.254508208766553,0.254508208766553
42,cat__Father_occupation_group_무직·기타,0.2454856144456312,0.2454856144456312
43,num__Age at enrollment,0.23482808493065258,0.23482808493065258
44,num__Curricular units 1st sem (credited),0.23233373003648228,0.23233373003648228
45,cat__Father_education_level_미상·기타,0.21098461173731076,0.21098461173731076
46,cat__Admission_pathway_고등교육 이수자 전형,0.20499933909870807,0.20499933909870807
47,cat__Admission_pathway_일반전형,0.20080170791938026,0.20080170791938026
48,cat__Previous_education_level_Graduate,0.20056090929244805,0.20056090929244805
49,cat__Marital status_4,-0.19954473932977967,0.19954473932977967
50,cat__Mother_occupation_group_전문·관리직,-0.18585166075965334,0.18585166075965334
51,num__Curricular units 2nd sem (evaluations),-0.17727066339098652,0.17727066339098652
52,cat__Mother_education_level_전문·직업교육,-0.17448917186621796,0.17448917186621796
53,cat__Previous_education_level_Higher education experience,-0.16083690093278438,0.16083690093278438
54,cat__Major_field_공학·자연,0.15405875380724487,0.15405875380724487
55,num__Curricular units 1st sem (grade),0.1498653068580359,0.1498653068580359
56,num__grade_change,-0.14865861555421864,0.14865861555421864
57,remainder__Displaced,0.1430018556048842,0.1430018556048842
58,cat__Previous_education_level_Vocational,-0.14050514299242647,0.14050514299242647
59,cat__Mother_occupation_group_농림,0.1353358275360021,0.1353358275360021
60,cat__Marital status_2,-0.1287788058573193,0.1287788058573193
61,remainder__Debtor,-0.11466865200645417,0.11466865200645417
62,cat__Mother_occupation_group_사무·서비스,-0.10887333812461407,0.10887333812461407
63,num__Application order,0.10240875347800907,0.10240875347800907
64,num__Curricular units 1st sem (without evaluations),-0.09606102590169026,0.09606102590169026
65,cat__Father_occupation_group_전문·관리직,0.0873095904721753,0.0873095904721753
66,cat__Father_education_level_전문·직업교육,-0.08697921428408174,0.08697921428408174
67,num__Admission grade,0.08514603080600244,0.08514603080600244
68,cat__Mother_education_level_중등교육 이하,0.07955491974492995,0.07955491974492995
69,cat__Admission_pathway_특별전형,0.07452937541444898,0.07452937541444898
70,num__Curricular units 2nd sem (without evaluations),-0.05988975853811117,0.05988975853811117
71,cat__Father_occupation_group_사무·서비스,0.05696144668533416,0.05696144668533416
72,num__Curricular units 2nd sem (grade),0.055570895700779326,0.055570895700779326
73,cat__Major_field_경영,-0.05297959957264165,0.05297959957264165
74,num__Curricular units 1st sem (evaluations),-0.05106400623129877,0.05106400623129877
75,cat__Mother_education_level_고등학교,0.023767131042531385,0.023767131042531385
76,num__Previous qualification (grade),-0.02018764427533744,0.02018764427533744
77,cat__Father_education_level_고등학교,-0.018635053834383422,0.018635053834383422
78,cat__Marital status_5,0.01065620695606433,0.01065620695606433
79,cat__Previous_education_level_Below secondary,-0.010135593374978545,0.010135593374978545
80,num__sem1_approval_rate,0.009200003483982118,0.009200003483982118
81,cat__Mother_education_level_대학,-0.0021029239296700454,0.0021029239296700454
