Model,Accuracy,Precision,Dropout Recall,F1-score,ROC-AUC
Baseline XGBoost,0.8768361581920904,0.8158844765342961,0.795774647887324,0.8057040998217468,0.9149422324295189
"Tuned XGBoost (n_iter=10, th=0.59)",0.8711864406779661,0.8,0.8,0.8,0.9153128654970759
